CustomerID,Country,FirstPurchase,LastPurchase,Segment,R_Raw,F_Raw,M_Raw,R_Score,F_Score,M_Score,RFM_Score,ChurnedProbability,CLV_12months,predicted_purchase_1yr
13120,United Kingdom,2011-04-15,2011-04-15,Hibernating,238,1,30.6,2,2,1,5,0.724,,
17129,United Kingdom,2010-07-07,2010-07-07,Hibernating,520,1,31.85,1,1,1,3,0.8227,,
14977,United Kingdom,2009-12-14,2009-12-14,Hibernating,725,1,31.93,1,1,1,3,0.8227,,
16941,United Kingdom,2010-04-07,2010-04-07,Hibernating,611,1,33.0,1,1,1,3,0.8227,,
15871,United Kingdom,2010-09-28,2010-09-28,Hibernating,437,1,33.1,1,1,1,3,0.8227,,
15744,United Kingdom,2011-09-23,2011-09-23,Hibernating,77,1,34.8,3,1,1,5,0.8227,,
17533,United Kingdom,2010-10-01,2010-10-01,Hibernating,434,1,34.8,1,1,1,3,0.8227,,
17831,United Kingdom,2011-11-06,2011-11-06,Hibernating,33,1,35.4,4,1,1,6,0.8227,,
14576,United Kingdom,2010-12-02,2010-12-02,Hibernating,372,1,35.4,2,2,1,5,0.724,,
16417,United Kingdom,2010-08-04,2010-08-04,Hibernating,492,1,35.7,1,1,1,3,0.8227,,
15940,United Kingdom,2011-02-01,2011-02-01,Hibernating,311,1,35.8,2,2,1,5,0.724,,
14993,United Kingdom,2010-05-25,2010-05-25,Hibernating,563,1,36.13,1,1,1,3,0.8227,,
17352,United Kingdom,2010-01-12,2010-01-12,Hibernating,696,1,36.25,1,1,1,3,0.8227,,
16162,United Kingdom,2011-04-01,2011-04-01,Hibernating,252,1,37.4,2,2,1,5,0.724,,
15693,United Kingdom,2010-02-18,2010-02-18,Hibernating,659,1,37.5,1,1,1,3,0.8227,,
15455,United Kingdom,2010-04-21,2010-04-21,Hibernating,597,1,38.25,1,1,1,3,0.8227,,
18019,United Kingdom,2011-10-19,2011-10-19,Hibernating,51,1,38.45,4,1,1,6,0.8227,,
17246,United Kingdom,2009-12-01,2010-06-11,Hibernating,546,2,38.92,1,2,1,4,0.7189,3.64,0.4
16659,United Kingdom,2011-06-03,2011-06-03,Hibernating,189,1,39.12,2,2,1,5,0.724,,
14589,United Kingdom,2010-12-03,2010-12-03,Hibernating,371,1,39.75,2,2,1,5,0.724,,
14086,United Kingdom,2010-09-03,2010-09-03,Hibernating,462,1,39.95,1,1,1,3,0.8227,,
15178,United Kingdom,2011-03-24,2011-03-24,Hibernating,260,1,40.5,2,2,1,5,0.724,,
14266,United Kingdom,2010-10-07,2010-10-07,Hibernating,428,1,40.56,1,1,1,3,0.8227,,
16219,United Kingdom,2010-07-27,2010-07-27,Hibernating,500,1,40.8,1,1,1,3,0.8227,,
13906,United Kingdom,2010-10-26,2010-10-26,Hibernating,409,1,42.0,2,1,1,4,0.8227,,
13913,United Kingdom,2010-07-21,2010-07-21,Hibernating,506,1,42.22,1,1,1,3,0.8227,,
14300,United Kingdom,2011-11-21,2011-11-21,Hibernating,18,1,43.2,5,1,1,7,0.8227,,
17916,United Kingdom,2009-12-06,2010-03-21,Hibernating,628,2,43.87,1,2,1,4,0.7189,1.14,0.22
15672,United Kingdom,2009-12-14,2009-12-14,Hibernating,725,1,45.3,1,1,1,3,0.8227,,
12496,Spain,2010-03-29,2010-03-29,Hibernating,620,2,45.34,1,2,1,4,0.7189,0.42,0.06
15698,United Kingdom,2010-03-25,2010-03-25,Hibernating,624,1,46.2,1,1,1,3,0.8227,,
13438,United Kingdom,2010-06-10,2010-06-10,Hibernating,547,1,46.5,1,1,1,3,0.8227,,
16257,United Kingdom,2011-06-16,2011-06-16,Hibernating,176,1,46.95,3,2,1,6,0.724,,
16530,United Kingdom,2010-02-09,2010-02-09,Hibernating,668,1,48.35,1,1,1,3,0.8227,,
14380,United Kingdom,2010-01-26,2010-01-26,Hibernating,682,1,48.96,1,1,1,3,0.8227,,
18184,United Kingdom,2011-11-24,2011-11-24,Hibernating,15,1,49.8,5,1,1,7,0.8227,,
14743,United Kingdom,2010-04-26,2010-04-26,Hibernating,592,1,50.48,1,1,1,3,0.8227,,
13011,United Kingdom,2010-12-02,2010-12-02,Hibernating,372,1,50.55,2,2,1,5,0.724,,
14351,United Kingdom,2011-06-28,2011-06-28,Hibernating,164,1,51.0,3,2,1,6,0.724,,
13254,United Kingdom,2010-11-28,2010-11-28,Hibernating,376,1,51.41,2,2,1,5,0.724,,
17844,Canada,2011-08-25,2011-08-25,Hibernating,106,1,51.56,3,2,1,6,0.724,,
16786,United Kingdom,2010-11-11,2010-11-11,Hibernating,393,1,51.84,2,1,1,4,0.8227,,
15313,United Kingdom,2011-08-21,2011-08-21,Hibernating,110,1,52.0,3,2,1,6,0.724,,
17599,United Kingdom,2010-08-19,2010-08-19,Hibernating,477,1,52.05,1,1,1,3,0.8227,,
16349,United Kingdom,2011-02-22,2011-02-22,Hibernating,290,1,53.5,2,2,1,5,0.724,,
13306,United Kingdom,2010-10-05,2010-10-05,Hibernating,430,1,53.65,1,1,1,3,0.8227,,
12860,United Kingdom,2010-01-15,2010-01-15,Hibernating,693,1,54.22,1,1,1,3,0.8227,,
17494,United Kingdom,2010-07-26,2010-07-26,Hibernating,501,1,54.7,1,1,1,3,0.8227,,
12776,Portugal,2010-02-10,2010-02-10,Hibernating,667,1,55.5,1,1,1,3,0.8227,,
15685,United Kingdom,2010-09-15,2010-09-15,Hibernating,450,1,55.98,1,1,1,3,0.8227,,
13366,United Kingdom,2011-10-20,2011-10-20,Hibernating,50,1,56.16,4,1,1,6,0.8227,,
15899,United Kingdom,2010-12-06,2010-12-06,Hibernating,368,1,56.25,2,2,1,5,0.724,,
17775,United Kingdom,2011-03-30,2011-03-30,Hibernating,254,1,56.4,2,2,1,5,0.724,,
12466,France,2010-01-26,2010-01-26,Hibernating,682,1,56.73,1,1,1,3,0.8227,,
14384,United Kingdom,2010-07-27,2010-07-27,Hibernating,500,1,58.5,1,1,1,3,0.8227,,
15371,United Kingdom,2010-02-15,2010-02-15,Hibernating,662,1,59.4,1,1,1,3,0.8227,,
15233,United Kingdom,2010-11-03,2010-11-03,Hibernating,401,1,59.4,2,1,1,4,0.8227,,
13682,United Kingdom,2011-06-05,2011-06-05,Hibernating,187,1,59.5,3,2,1,6,0.724,,
13391,United Kingdom,2011-05-20,2011-05-20,Hibernating,203,1,59.8,2,2,1,5,0.724,,
17174,United Kingdom,2011-05-06,2011-05-06,Hibernating,217,1,59.9,2,2,1,5,0.724,,
15250,United Kingdom,2010-03-09,2010-03-09,Hibernating,640,1,60.0,1,1,1,3,0.8227,,
16605,United Kingdom,2009-12-15,2009-12-15,Hibernating,724,1,60.48,1,1,1,3,0.8227,,
15375,United Kingdom,2010-01-18,2010-01-18,Hibernating,690,1,60.96,1,1,1,3,0.8227,,
13818,United Kingdom,2010-10-06,2010-10-06,Hibernating,429,1,61.28,1,1,1,3,0.8227,,
13303,United Kingdom,2010-11-04,2010-11-04,Hibernating,400,1,61.72,2,1,1,4,0.8227,,
13380,United Kingdom,2010-10-03,2010-10-03,Hibernating,432,1,62.4,1,1,1,3,0.8227,,
15516,United Kingdom,2011-10-24,2011-10-26,Hibernating,44,3,62.43,4,3,1,8,0.5849,40.29,7.4
14650,United Kingdom,2010-04-29,2010-04-29,Hibernating,589,1,62.5,1,1,1,3,0.8227,,
13218,United Kingdom,2011-08-04,2011-08-04,Hibernating,127,1,62.64,3,2,1,6,0.724,,
16058,United Kingdom,2010-10-29,2010-10-29,Hibernating,406,1,62.7,2,1,1,4,0.8227,,
12404,Finland,2010-01-26,2010-01-26,Hibernating,682,1,63.24,1,1,1,3,0.8227,,
15470,United Kingdom,2010-05-13,2010-05-13,Hibernating,575,1,63.42,1,1,1,3,0.8227,,
17263,United Kingdom,2011-05-15,2011-05-15,Hibernating,208,1,63.44,2,2,1,5,0.724,,
17216,United Kingdom,2010-06-03,2010-06-03,Hibernating,554,1,63.6,1,1,1,3,0.8227,,
16238,United Kingdom,2010-10-13,2010-10-13,Hibernating,422,1,63.66,1,1,1,3,0.8227,,
13130,United Kingdom,2011-09-06,2011-09-06,Hibernating,94,1,64.0,3,2,1,6,0.724,,
13022,Belgium,2010-10-06,2010-10-06,Hibernating,429,1,65.3,1,1,1,3,0.8227,,
17532,United Kingdom,2010-11-19,2010-11-19,Hibernating,385,1,65.34,2,1,1,4,0.8227,,
14393,United Kingdom,2011-05-05,2011-05-05,Hibernating,218,1,67.95,2,2,1,5,0.724,,
17249,United Kingdom,2010-10-07,2010-10-07,Hibernating,428,1,68.03,1,1,1,3,0.8227,,
12861,United Kingdom,2010-03-30,2010-03-30,Hibernating,619,1,68.25,1,1,1,3,0.8227,,
13172,United Kingdom,2010-11-04,2010-11-04,Hibernating,400,1,69.6,2,1,1,4,0.8227,,
12568,Germany,2010-03-05,2010-03-05,Hibernating,644,1,70.0,1,1,1,3,0.8227,,
15564,United Kingdom,2010-02-01,2010-09-02,Hibernating,463,2,70.74,1,2,1,4,0.7188,10.23,0.52
13915,United Kingdom,2010-11-10,2010-11-10,Hibernating,394,1,70.8,2,1,1,4,0.8227,,
16970,United Kingdom,2010-03-23,2010-03-23,Hibernating,626,1,71.4,1,1,1,3,0.8227,,
13185,United Kingdom,2011-03-17,2011-03-17,Hibernating,267,1,71.4,2,2,1,5,0.724,,
17747,United Kingdom,2011-08-19,2011-08-19,Hibernating,112,1,71.4,3,2,1,6,0.724,,
13938,United Kingdom,2011-11-04,2011-11-04,Hibernating,35,1,71.66,4,1,1,6,0.8227,,
16459,United Kingdom,2009-12-10,2009-12-10,Hibernating,729,1,71.79,1,1,1,3,0.8227,,
13105,United Kingdom,2010-09-29,2010-09-29,Hibernating,436,1,72.0,1,1,1,3,0.8227,,
17906,United Kingdom,2011-04-06,2011-04-06,Hibernating,247,1,72.9,2,2,1,5,0.724,,
16171,United Kingdom,2011-10-11,2011-10-11,Hibernating,59,1,73.2,3,1,1,5,0.8227,,
18032,United Kingdom,2011-01-09,2011-01-09,Hibernating,334,1,73.5,2,2,1,5,0.724,,
12506,France,2011-04-21,2011-04-21,Hibernating,232,1,73.5,2,2,1,5,0.724,,
13095,United Kingdom,2011-09-30,2011-09-30,Hibernating,70,1,74.4,3,1,1,5,0.8227,,
17944,United Kingdom,2010-10-12,2010-10-12,Hibernating,423,1,74.99,1,1,1,3,0.8227,,
16420,United Kingdom,2010-11-08,2010-11-08,Hibernating,396,1,75.0,2,1,1,4,0.8227,,
17192,United Kingdom,2010-06-21,2010-06-21,Hibernating,536,1,75.28,1,1,1,3,0.8227,,
14559,United Kingdom,2010-11-14,2010-11-14,Hibernating,390,1,75.6,2,1,1,4,0.8227,,
16610,United Kingdom,2011-05-04,2011-05-04,Hibernating,219,1,75.66,2,2,1,5,0.724,,
17628,United Kingdom,2011-09-19,2011-09-19,Hibernating,81,1,75.75,3,2,1,6,0.724,,
13219,United Kingdom,2010-03-31,2010-03-31,Hibernating,618,1,76.23,1,1,1,3,0.8227,,
14613,United Kingdom,2010-01-28,2010-01-28,Hibernating,680,1,76.32,1,1,1,3,0.8227,,
18113,United Kingdom,2010-12-06,2010-12-06,Hibernating,368,1,76.32,2,2,1,5,0.724,,
14090,United Kingdom,2011-01-19,2011-01-19,Hibernating,324,1,76.32,2,2,1,5,0.724,,
15668,United Kingdom,2011-05-06,2011-05-06,Hibernating,217,1,76.32,2,2,1,5,0.724,,
14373,United Kingdom,2010-12-16,2010-12-16,Hibernating,358,1,76.55,2,2,1,5,0.724,,
16867,United Kingdom,2010-01-19,2010-01-19,Hibernating,689,1,76.74,1,1,1,3,0.8227,,
13132,United Kingdom,2011-03-23,2011-03-23,Hibernating,261,1,77.3,2,2,1,5,0.724,,
14785,United Kingdom,2011-11-24,2011-11-29,Hibernating,10,2,77.4,5,3,1,9,0.5911,193.22,7.14
17942,United Kingdom,2011-12-02,2011-12-02,Hibernating,7,1,77.5,5,1,1,7,0.8227,,
12570,Spain,2010-01-26,2010-01-26,Hibernating,682,1,77.52,1,1,1,3,0.8227,,
15753,United Kingdom,2011-02-08,2011-02-08,Hibernating,304,1,79.2,2,2,1,5,0.724,,
14007,United Kingdom,2010-07-15,2010-07-15,Hibernating,512,1,79.48,1,1,1,3,0.8227,,
14190,United Kingdom,2010-02-11,2010-02-11,Hibernating,666,1,79.9,1,1,1,3,0.8227,,
16165,United Kingdom,2010-07-22,2010-07-22,Hibernating,505,1,79.9,1,1,1,3,0.8227,,
15131,United Kingdom,2010-11-10,2010-11-10,Hibernating,394,1,80.28,2,1,1,4,0.8227,,
15833,United Kingdom,2009-12-02,2009-12-02,Hibernating,737,1,80.4,1,1,1,3,0.8227,,
17752,United Kingdom,2010-12-15,2010-12-15,Hibernating,359,1,80.64,2,2,1,5,0.724,,
16789,United Kingdom,2011-12-01,2011-12-01,Hibernating,8,1,80.8,5,1,1,7,0.8227,,
17336,United Kingdom,2010-08-24,2010-08-24,Hibernating,472,1,81.12,1,1,1,3,0.8227,,
15170,United Kingdom,2010-10-29,2010-10-29,Hibernating,406,1,81.15,2,1,1,4,0.8227,,
14717,United Kingdom,2009-12-06,2009-12-06,Hibernating,733,1,81.3,1,1,1,3,0.8227,,
17008,United Kingdom,2010-10-06,2010-10-06,Hibernating,429,1,81.36,1,1,1,3,0.8227,,
17620,United Kingdom,2011-10-11,2011-10-11,Hibernating,59,1,81.44,3,1,1,5,0.8227,,
13006,United Kingdom,2011-10-14,2011-10-14,Hibernating,56,1,81.57,4,1,1,6,0.8227,,
13215,United Kingdom,2010-11-02,2010-11-02,Hibernating,402,1,81.6,2,1,1,4,0.8227,,
16028,United Kingdom,2010-04-23,2010-04-23,Hibernating,595,1,82.2,1,1,1,3,0.8227,,
13469,United Kingdom,2010-02-24,2010-02-24,Hibernating,653,1,82.4,1,1,1,3,0.8227,,
14347,United Kingdom,2009-12-03,2009-12-03,Hibernating,736,1,82.6,1,1,1,3,0.8227,,
15094,United Kingdom,2010-03-05,2010-09-02,Hibernating,463,2,83.0,1,2,1,4,0.7188,9.26,0.5
12401,Belgium,2011-02-09,2011-02-09,Hibernating,303,1,84.3,2,2,1,5,0.7239,,
13841,United Kingdom,2011-04-01,2011-04-01,Hibernating,252,1,85.0,2,2,1,5,0.7239,,
15541,United Kingdom,2011-08-17,2011-08-17,Hibernating,114,1,85.13,3,2,1,6,0.7239,,
13180,United Kingdom,2010-04-11,2010-04-11,Hibernating,607,1,86.1,1,1,1,3,0.8227,,
17763,United Kingdom,2010-02-18,2011-03-21,Hibernating,263,4,86.15,2,3,1,6,0.5787,11.6,1.71
17606,United Kingdom,2009-12-02,2009-12-02,Hibernating,737,1,87.3,1,1,1,3,0.8227,,
16564,United Kingdom,2010-05-19,2010-05-19,Hibernating,569,1,87.8,1,1,1,3,0.8227,,
15083,United Kingdom,2011-03-28,2011-03-28,Hibernating,256,1,88.2,2,2,1,5,0.7239,,
15603,United Kingdom,2010-03-01,2011-09-22,Hibernating,78,2,88.48,3,2,1,6,0.7188,22.56,0.95
13222,United Kingdom,2010-05-11,2010-05-11,Hibernating,577,1,88.5,1,1,1,3,0.8227,,
12686,France,2010-12-03,2010-12-03,Hibernating,371,1,89.14,2,2,1,5,0.7239,,
14760,United Kingdom,2011-02-15,2011-02-15,Hibernating,297,1,89.2,2,2,1,5,0.7239,,
13535,United Kingdom,2010-11-02,2010-11-02,Hibernating,402,1,89.5,2,1,1,4,0.8227,,
16061,United Kingdom,2010-10-04,2010-10-04,Hibernating,431,1,89.65,1,1,1,3,0.8227,,
14974,United Kingdom,2011-11-02,2011-11-02,Hibernating,37,1,89.94,4,1,1,6,0.8227,,
15686,United Kingdom,2010-10-15,2010-10-15,Hibernating,420,1,90.0,1,1,1,3,0.8227,,
14117,United Kingdom,2011-07-19,2011-07-19,Hibernating,143,1,90.0,3,2,1,6,0.7239,,
16597,United Kingdom,2011-12-05,2011-12-05,Hibernating,4,1,90.04,5,1,1,7,0.8227,,
16506,United Kingdom,2011-10-30,2011-11-20,Hibernating,19,2,90.3,5,3,1,9,0.5911,171.6,5.52
14435,United Kingdom,2010-07-26,2010-07-26,Hibernating,501,1,90.42,1,1,1,3,0.8227,,
13947,United Kingdom,2011-10-05,2011-10-05,Hibernating,65,1,90.6,3,1,1,5,0.8227,,
14786,United Kingdom,2010-06-07,2010-06-07,Hibernating,550,1,90.96,1,1,1,3,0.8227,,
13392,United Kingdom,2010-01-31,2010-01-31,Hibernating,677,1,91.14,1,1,1,3,0.8227,,
12659,France,2011-11-10,2011-11-10,Hibernating,29,1,91.68,4,1,1,6,0.8226,,
13160,United Kingdom,2011-11-17,2011-11-17,Hibernating,22,1,91.8,4,1,1,6,0.8226,,
16831,United Kingdom,2010-05-24,2010-05-24,Hibernating,564,1,91.8,1,1,1,3,0.8226,,
14054,United Kingdom,2011-10-05,2011-10-05,Hibernating,65,1,92.46,3,1,1,5,0.8226,,
14865,United Kingdom,2009-12-01,2011-12-02,Hibernating,7,4,92.52,5,4,1,10,0.4371,27.95,1.81
16196,United Kingdom,2010-08-08,2010-08-08,Hibernating,488,1,93.3,1,1,1,3,0.8226,,
12992,United Kingdom,2009-12-14,2009-12-14,Hibernating,725,1,93.35,1,1,1,3,0.8226,,
15082,United Kingdom,2010-02-09,2010-02-09,Hibernating,668,1,93.35,1,1,1,3,0.8226,,
15305,United Kingdom,2010-06-02,2010-06-02,Hibernating,555,1,93.6,1,1,1,3,0.8226,,
14394,United Kingdom,2010-05-24,2010-05-24,Hibernating,564,1,93.8,1,1,1,3,0.8226,,
18033,United Kingdom,2011-10-05,2011-10-05,Hibernating,65,1,93.82,3,1,1,5,0.8226,,
15397,United Kingdom,2011-02-23,2011-02-23,Hibernating,289,1,94.0,2,2,1,5,0.7239,,
16339,United Kingdom,2011-02-28,2011-02-28,Hibernating,284,1,94.05,2,2,1,5,0.7239,,
15868,United Kingdom,2010-05-05,2010-05-05,Hibernating,583,1,94.53,1,1,1,3,0.8226,,
14833,United Kingdom,2010-07-29,2010-07-29,Hibernating,498,1,94.8,1,1,1,3,0.8226,,
15285,United Kingdom,2010-10-28,2010-10-28,Hibernating,407,1,94.92,2,1,1,4,0.8226,,
12548,Spain,2011-06-26,2011-06-26,Hibernating,166,1,95.2,3,2,1,6,0.7239,,
18249,United Kingdom,2011-11-22,2011-11-22,Hibernating,17,1,95.34,5,1,1,7,0.8226,,
17895,United Kingdom,2011-10-26,2011-10-26,Hibernating,44,1,95.45,4,1,1,6,0.8226,,
17024,United Kingdom,2011-07-05,2011-10-25,Hibernating,45,3,95.85,4,3,1,8,0.5849,137.92,4.39
15583,United Kingdom,2010-11-28,2010-11-28,Hibernating,376,1,95.96,2,2,1,5,0.7239,,
13793,United Kingdom,2010-03-03,2010-03-03,Hibernating,646,1,96.0,1,1,1,3,0.8226,,
17816,United Kingdom,2009-12-15,2011-11-03,Hibernating,36,6,96.11,4,4,1,9,0.4246,7.17,2.73
14642,United Kingdom,2011-10-12,2011-10-12,Hibernating,58,1,96.12,4,1,1,6,0.8226,,
12984,United Kingdom,2011-11-21,2011-11-21,Hibernating,18,1,97.5,5,1,1,7,0.8226,,
17395,United Kingdom,2010-07-19,2010-07-19,Hibernating,508,1,97.5,1,1,1,3,0.8226,,
16694,United Kingdom,2009-12-16,2009-12-16,Hibernating,723,1,98.3,1,1,1,3,0.8226,,
17538,United Kingdom,2011-11-14,2011-11-14,Hibernating,25,1,98.42,4,1,1,6,0.8226,,
12774,Netherlands,2010-06-22,2010-06-22,Hibernating,535,1,98.7,1,1,1,3,0.8226,,
17939,United Kingdom,2011-07-03,2011-07-03,Hibernating,159,1,99.14,3,2,1,6,0.7239,,
12737,France,2010-07-29,2010-07-29,Hibernating,498,1,100.0,1,1,1,3,0.8226,,
15635,United Kingdom,2010-11-09,2010-11-09,Hibernating,395,1,100.35,2,1,1,4,0.8226,,
14371,United Kingdom,2011-02-17,2011-02-17,Hibernating,295,1,100.5,2,2,1,5,0.7239,,
17427,United Kingdom,2011-09-29,2011-09-29,Hibernating,71,1,100.8,3,1,1,5,0.8226,,
17224,United Kingdom,2010-07-26,2010-07-26,Hibernating,501,1,100.86,1,1,1,3,0.8226,,
14946,United Kingdom,2011-11-25,2011-11-25,Hibernating,14,1,100.9,5,1,1,7,0.8226,,
17493,United Kingdom,2010-11-19,2010-11-19,Hibernating,385,1,100.91,2,1,1,4,0.8226,,
16498,United Kingdom,2011-06-30,2011-07-01,Hibernating,161,2,100.97,3,2,1,6,0.7188,11.7,1.25
17741,United Kingdom,2010-05-28,2010-10-29,Hibernating,406,2,101.1,2,2,1,5,0.7188,10.74,0.57
18195,United Kingdom,2010-11-17,2010-11-17,Hibernating,387,1,101.16,2,1,1,4,0.8226,,
18086,United Kingdom,2011-03-10,2011-03-10,Hibernating,274,1,101.34,2,2,1,5,0.7239,,
16944,United Kingdom,2010-04-09,2010-04-09,Hibernating,609,1,101.36,1,1,1,3,0.8226,,
16516,United Kingdom,2011-11-09,2011-11-09,Hibernating,30,1,101.7,4,1,1,6,0.8226,,
18068,United Kingdom,2011-02-23,2011-02-23,Hibernating,289,1,101.7,2,2,1,5,0.7239,,
15486,United Kingdom,2010-06-30,2010-06-30,Hibernating,527,1,102.0,1,1,1,3,0.8226,,
13829,United Kingdom,2010-10-14,2010-10-14,Hibernating,421,1,102.0,1,1,1,3,0.8226,,
14836,United Kingdom,2011-11-09,2011-11-29,Hibernating,10,3,102.45,5,3,1,9,0.5849,170.34,9.72
17467,United Kingdom,2010-11-09,2010-11-09,Hibernating,395,1,102.6,2,1,1,4,0.8226,,
18124,United Kingdom,2010-08-24,2010-08-24,Hibernating,472,1,102.65,1,1,1,3,0.8226,,
15924,United Kingdom,2009-12-08,2009-12-08,Hibernating,731,1,102.82,1,1,1,3,0.8226,,
14542,United Kingdom,2011-06-07,2011-06-07,Hibernating,185,1,103.25,3,2,1,6,0.7239,,
16896,United Kingdom,2010-06-02,2010-06-02,Hibernating,555,1,103.95,1,1,1,3,0.8226,,
16375,United Kingdom,2010-08-26,2010-08-26,Hibernating,470,2,104.0,1,2,1,4,0.7188,1.29,0.12
16547,United Kingdom,2010-06-11,2010-06-11,Hibernating,546,1,104.26,1,1,1,3,0.8226,,
17328,United Kingdom,2010-02-04,2010-02-04,Hibernating,673,1,104.7,1,1,1,3,0.8226,,
14027,United Kingdom,2011-10-10,2011-10-10,Hibernating,60,1,104.82,3,1,1,5,0.8226,,
15340,United Kingdom,2010-05-27,2010-05-27,Hibernating,561,1,105.5,1,1,1,3,0.8226,,
14579,United Kingdom,2010-10-03,2010-10-03,Hibernating,432,1,105.56,1,1,1,3,0.8226,,
15642,United Kingdom,2009-12-10,2009-12-10,Hibernating,729,1,105.78,1,1,1,3,0.8226,,
18103,United Kingdom,2010-06-08,2010-06-08,Hibernating,549,1,105.8,1,1,1,3,0.8226,,
16581,United Kingdom,2011-06-10,2011-06-10,Hibernating,182,1,105.84,3,2,1,6,0.7239,,
17933,United Kingdom,2010-03-17,2010-03-17,Hibernating,632,1,105.99,1,1,1,3,0.8226,,
17791,United Kingdom,2011-11-10,2011-11-10,Hibernating,29,1,106.1,4,1,1,6,0.8226,,
15927,United Kingdom,2010-03-02,2010-03-02,Hibernating,647,1,106.54,1,1,1,3,0.8226,,
15168,United Kingdom,2011-11-14,2011-11-14,Hibernating,25,1,106.56,4,1,1,6,0.8226,,
14637,United Kingdom,2010-01-31,2010-01-31,Hibernating,677,1,106.68,1,1,1,3,0.8226,,
16082,United Kingdom,2010-02-07,2010-02-07,Hibernating,670,1,106.75,1,1,1,3,0.8226,,
16630,United Kingdom,2010-10-28,2010-10-28,Hibernating,407,1,106.8,2,1,1,4,0.8226,,
15846,United Kingdom,2010-11-19,2010-11-19,Hibernating,385,1,107.01,2,1,1,4,0.8226,,
16047,EIRE,2010-01-26,2010-01-26,Hibernating,682,1,107.14,1,1,1,3,0.8226,,
17893,United Kingdom,2011-04-28,2011-04-28,Hibernating,225,1,107.21,2,2,1,5,0.7239,,
15328,United Kingdom,2010-10-28,2010-10-28,Hibernating,407,1,107.24,2,1,1,4,0.8226,,
16301,United Kingdom,2009-12-03,2009-12-03,Hibernating,736,1,107.33,1,1,1,3,0.8226,,
15395,United Kingdom,2011-01-18,2011-01-18,Hibernating,325,1,107.45,2,2,1,5,0.7239,,
14943,United Kingdom,2010-02-14,2010-02-14,Hibernating,663,1,107.62,1,1,1,3,0.8226,,
